dG,RFP/OD,GFP/OD,GFP/RFP
-2.00 ,6162.055336,5193.675889,0.842847979
-2.00 ,9720.930233,7134.883721,0.733971292
-2.00 ,9086.642599,4942.238267,0.54390147
-2.00 ,5882.575758,4799.242424,0.815840309
-2.00 ,4466.666667,3831.372549,0.857769974
-2.00 ,5156.626506,4682.730924,0.908099689
-2.00 ,3918.918919,3629.343629,0.926108374
-2.00 ,4285.171103,3920.152091,0.914818101
-2.00 ,7041.198502,5205.992509,0.739361702
-2.00 ,4418.867925,4116.981132,0.931682323
-2.00 ,7178.321678,5311.188811,0.73989284
-2.00 ,5715.909091,4435.606061,0.776010603
-2.00 ,4182.879377,4400.77821,1.052093023
-2.00 ,5424.710425,4332.046332,0.798576512
-2.00 ,4502.008032,4538.15261,1.008028546
-2.00 ,5756.183746,4533.568905,0.787599754
-2.00 ,3631.147541,3385.245902,0.93227991
-2.00 ,4876.190476,4019.047619,0.82421875
-2.00 ,6339.130435,3800,0.599451303
-2.00 ,4300,4030,0.937209302
-2.00 ,3500,3346.153846,0.956043956
-2.00 ,3836.734694,3918.367347,1.021276596
-2.00 ,2916.666667,3027.777778,1.038095238
-2.00 ,2990.654206,3074.766355,1.028125
-2.00 ,5019.047619,4085.714286,0.814041746
-2.00 ,3271.028037,3448.598131,1.054285714
-2.00 ,5035.087719,3991.22807,0.792682927
-2.00 ,3875,3401.785714,0.877880184
-2.00 ,3220.183486,3614.678899,1.122507123
-2.00 ,4794.117647,3911.764706,0.81595092
-2.00 ,2927.927928,3216.216216,1.098461538
-2.00 ,3760.683761,3341.880342,0.888636364
-2.00 ,8876.923077,6007.692308,0.67677643
-2.00 ,14050,7608.333333,0.541518387
-2.00 ,13260.1626,5764.227642,0.434702636
-2.00 ,8160,5552,0.680392157
-2.00 ,6159.292035,5000,0.811781609
-2.00 ,7532.786885,5418.032787,0.719260065
-2.00 ,5415.254237,4584.745763,0.846635368
-2.00 ,6023.255814,4682.170543,0.777348777
-2.00 ,9554.621849,6142.857143,0.642919965
-2.00 ,5932.835821,4589.552239,0.773584906
-2.00 ,10926.22951,6393.442623,0.585146286
-2.00 ,7708.955224,4902.985075,0.636011617
-2.00 ,6400,5308.333333,0.829427083
-2.00 ,8946.153846,4630.769231,0.517626827
-2.00 ,6605.042017,5226.890756,0.7913486
-2.00 ,7100.671141,4469.798658,0.629489603
-2.00 ,8867.346939,6520.408163,0.735327963
-2.00 ,13529.41176,7382.352941,0.545652174
-2.00 ,13726.41509,5962.264151,0.434364261
-2.00 ,8220.472441,5503.937008,0.66954023
-2.00 ,6160,5050,0.819805195
-2.00 ,7767.241379,5491.37931,0.706992231
-2.00 ,5572.815534,4786.407767,0.858885017
-2.00 ,6475.806452,4951.612903,0.764632628
-2.00 ,9913.461538,6346.153846,0.640155189
-2.00 ,6638.655462,5084.033613,0.765822785
-2.00 ,11726.41509,6839.622642,0.583266291
-2.00 ,8241.935484,5185.483871,0.629158513
-2.00 ,6880,5730,0.832848837
-2.00 ,9806.722689,4957.983193,0.505569837
-2.00 ,7180.952381,5590.47619,0.778514589
-2.00 ,8769.84127,5412.698413,0.61719457
-6.00 ,14637.93103,10775.86207,0.736160189
-6.00 ,4677.824268,4652.719665,0.994633274
-6.00 ,4672.064777,4910.931174,1.051126517
-6.00 ,4759.259259,4674.074074,0.982101167
-6.00 ,5918.604651,5217.054264,0.881466929
-6.00 ,4768.115942,4673.913043,0.980243161
-6.00 ,5517.509728,5556.420233,1.007052186
-6.00 ,6407.801418,5312.056738,0.82899834
-6.00 ,3234.817814,3457.489879,1.068836045
-6.00 ,4066.901408,4049.295775,0.995670996
-6.00 ,4173.144876,3452.29682,0.82726503
-6.00 ,5229.927007,4481.751825,0.856943475
